Agency Name,Type of Agency,County,Total Population of Jurisdiction,White Population,Black Population,Hispanic Population,Native American Population,Asian Population,Pacific Islander Population,Other Population,Multiracial Population,Percent High School Graduates in Jurisdiction,Unemployment Rate in Jurisdiction,Median Income,Poverty Rate
Palm Springs Police Department,Police Department,Riverside County,48058,12614,28541,2502,137,2799,172,86,1207,87.6,5.7,42746,22
Palo Alto Police Department,Police Department,Santa Clara County,68601,5778,36344,977,0,22330,0,92,3080,97.2,2.8,150556,5.9
Pasadena Police Department,Police Department,Los Angeles County,142676,47502,51303,15048,13,24315,50,540,3905,90.3,4.2,76494,17.7
Pittsburg Police Department,Police Department,Contra Costa County,70630,27771,12266,12156,64,11864,1338,363,4808,81,8.1,63491,18.7
Pleasanton Police Department,Police Department,Alameda County,79733,7936,41876,1432,27,24975,543,9,2935,95.3,1.8,131389,4.2
Pomona Police Department,Police Department,Los Angeles County,154448,105659,20026,9253,580,15679,674,472,2105,69.8,6.7,49508,23.8
Redding Police Department,Police Department,Shasta County,92278,8907,71114,1633,1935,4410,148,0,4131,91.4,3,43015,19.5
Redlands Police Department,Police Department,San Bernardino County,71625,20240,37491,5380,394,5394,605,318,1803,90.9,3.5,63523,17.1
Redondo Beach Police Department,Police Department,Los Angeles County,68655,13182,39673,2206,127,8888,0,489,4090,96.3,5.1,111474,3.5
Redwood City Police Department,Police Department,San Mateo County,85986,32936,36857,1899,0,11951,28,0,2315,84.4,2.2,92380,9.7
Rialto Police Department,Police Department,San Bernardino County,104865,80610,8621,8993,109,2807,1277,714,1734,67.5,9.2,52514,20.2
Richmond Police Department,Police Department,Contra Costa County,111493,46461,20535,20162,224,16971,950,655,5535,75.7,5.9,55547,17.1
Riverside Police Department,Police Department,Riverside County,328799,179023,97768,15005,1711,22082,707,825,11678,79.4,6.8,57989,20.1
Roseville Police Department,Police Department,Placer County,134098,20493,92011,1941,0,13741,290,76,5546,95.1,3.5,77155,9.3
Sacramento Police Department,Police Department,Sacramento County,494644,144626,160494,61643,916,91399,7928,1995,25643,84.7,6.6,50817,23.8
Salinas Police Department,Police Department,Monterey County,160396,122923,22543,1749,222,11729,0,84,1146,59,3.4,49093,19.6
San Bernardino Police Department,Police Department,San Bernardino County,218300,139014,33411,28465,249,10717,178,605,5661,68.5,9.1,34997,36.2
San Diego Police Department,Police Department,San Diego County,1412180,441408,584024,85813,3583,244327,4422,1401,47202,88,5.1,68242,15.4
San Francisco Police Department,Police Department,San Francisco County,876291,135464,356013,42977,1212,298092,3612,5388,33533,88.1,3.9,88786,13.2
San Jose Police Department,Police Department,Santa Clara County,1055778,345660,269620,28644,1601,369744,3786,1662,35061,83,4.6,87945,10.9
San Leandro Police Department,Police Department,Alameda County,91708,24935,19146,10692,440,31482,1304,202,3507,83.1,3.3,63327,12.7
San Mateo Police Department,Police Department,San Mateo County,105463,27811,46436,2037,110,23351,1999,118,3601,87.6,4.1,92754,8.7
Santa Ana Police Department,Police Department,Orange County,342008,267514,31296,3349,175,36704,818,277,1875,56.7,3.7,50119,23.5
Santa Barbara Police Department,Police Department,Santa Barbara County,92500,37825,48809,1359,17,2891,74,0,1525,83.4,3.7,68456,13.1
Santa Clara Police Department,Police Department,Santa Clara County,126337,22361,41380,5713,582,52335,132,0,3834,92.5,2.6,105630,7.8
Santa Cruz Police Department,Police Department,Santa Cruz County,65579,14230,40615,1231,142,5976,9,0,3376,93.1,4.3,61573,26.7
Santa Maria Police Department,Police Department,Santa Barbara County,105746,78778,20406,389,395,5352,90,0,336,56.8,3.8,49191,22.6
Santa Monica Police Department,Police Department,Los Angeles County,94857,16630,60615,4602,0,9152,34,0,3824,95.4,6.2,80889,11.3
Santa Rosa Police Department,Police Department,Sonoma County,176407,58642,96246,3456,795,8779,942,0,7547,86.7,3.6,61575,12
Simi Valley Police Department,Police Department,Ventura County,127969,33960,76543,1106,154,11366,258,44,4538,90.8,4.3,92526,5.6
South Gate Police Department,Police Department,Los Angeles County,96451,92688,2391,783,0,423,119,0,47,52.3,8.4,45253,19.4
South San Francisco Police Department,Police Department,San Mateo County,68834,24015,12622,1412,0,26729,2078,133,1845,82.8,4.7,89310,8.6
Stockton Police Department,Police Department,San Joaquin County,307771,134506,62798,32183,529,65369,2392,0,9994,76.1,7.7,42348,27.3
Sunnyvale Police Department,Police Department,Santa Clara County,156275,26443,52263,3169,120,67422,610,611,5637,92.1,3.8,113918,7.8
Torrance Police Department,Police Department,Los Angeles County,149740,26260,59611,3942,360,50271,991,475,7830,93.9,3.8,83016,6.6
Tracy Police Department,Police Department,San Joaquin County,87646,34409,29131,4038,277,13563,349,137,5742,84,5.2,77361,7.6
Turlock Police Department,Police Department,Stanislaus County,72643,28575,34202,1960,270,4834,489,496,1817,82.7,8.5,49828,19.3
Tustin Police Department,Police Department,Orange County,82034,33372,25053,2161,730,17735,536,229,2218,83.9,4.6,69783,15
Union City Police Department,Police Department,Alameda County,75864,15293,9925,3380,384,41658,1369,440,3415,89.8,3.3,87976,8.5
Vacaville Police Department,Police Department,Solano County,97587,21983,52765,8491,0,6852,34,0,7462,90,6.5,74978,12.7
Vallejo Police Department,Police Department,Solano County,122048,33109,30474,24224,451,27148,893,18,5731,88.7,8.9,53292,20.6
Ventura Police Department,Police Department,Ventura County,111365,39808,62771,1976,89,4055,377,275,2014,89.8,4.6,67404,12.2
Visalia Police Department,Police Department,Tulare County,131242,64354,55173,2002,297,6547,209,147,2513,83.6,4.4,50596,25.4
Walnut Creek Police Department,Police Department,Contra Costa County,69425,7018,47702,1720,151,10932,66,108,1728,97.5,3.4,80821,7.3
West Covina Police Department,Police Department,Los Angeles County,109816,60819,12944,4584,150,29460,0,0,1859,83.9,7,69701,11.3
Westminster Police Department,Police Department,Orange County,93752,21306,21928,720,404,45730,812,0,2852,79.1,3,52130,20.3
Whittier Police Department,Police Department,Los Angeles County,88045,61019,19808,1060,142,4198,107,493,1218,83.5,3.5,65497,13.8
Alameda County Sheriff's Department,Sheriff's Department,Alameda County,179465,46333,63663,16766,0,42283,108,837,9475,86.7,9.6,73775,23.5
Alpine County Sheriff's Department,Sheriff's Department,Alpine County,1203,117,777,18,248,8,0,0,35,91.4,6,61343,44
Amador County Sheriff's Department,Sheriff's Department,Amador County,24089,3565,18141,764,99,463,79,1,977,88.4,15.9,52964,26.5
Butte County Sheriff's Department,Sheriff's Department,Butte County,84713,12203,62448,862,1533,4829,45,325,2468,88,13.1,43165,27
Calaveras County Sheriff's Department,Sheriff's Department,Calaveras County,41337,4738,33722,258,369,527,208,56,1459,92.5,11.3,54936,27
Colusa County Sheriff's Department,Sheriff's Department,Colusa County,10412,4998,4676,152,220,0,0,54,312,68.7,12.4,50503,16.4
Contra Costa County Sheriff's Department,Sheriff's Department,Contra Costa County,281744,59290,168590,12126,562,31305,6,1031,8834,88.9,9.8,79799,27.5
Del Norte County Sheriff's Department,Sheriff's Department,Del Norte County,20805,2821,13816,87,1893,684,0,134,1370,82,12.6,39302,25.3
El Dorado County Sheriff's Department,Sheriff's Department,El Dorado County,152922,14093,125175,1030,960,6338,306,209,4811,92.6,11.3,68507,24.6
Fresno County Sheriff's Department,Sheriff's Department,Fresno County,156683,68690,71870,1279,2239,11577,0,41,987,73.2,14.3,45201,32.9
Glenn County Sheriff's Department,Sheriff's Department,Glenn County,14159,5126,8500,0,143,238,71,0,81,75.3,13.5,40106,23.9
Humboldt County Sheriff's Department,Sheriff's Department,Humboldt County,73680,6986,56598,256,4839,1225,284,245,3247,90.3,11.3,42153,27.6
Imperial County Sheriff's Department,Sheriff's Department,Imperial County,41955,29555,9305,1283,1007,0,68,44,693,65.2,18.1,41772,27.1
Inyo County Sheriff's Department,Sheriff's Department,Inyo County,14392,2626,9249,123,1889,203,34,15,253,88.2,7.9,45625,34.7
Kern County Sheriff's Department,Sheriff's Department,Kern County,321350,166358,136182,7965,2334,879,55,498,7079,73,13.2,48574,27.1
Kings County Sheriff's Department,Sheriff's Department,Kings County,35075,16451,12648,4420,497,867,0,192,0,70.9,14.2,47341,30.3
Lake Sheriff's Department,Sheriff's Department,Lake County,44408,7960,32912,10,1657,920,0,0,949,84.8,16.6,35997,25.5
Lassen Sheriff's Department,Sheriff's Department,Lassen County,17067,1504,14282,556,464,0,0,16,245,79.4,13.4,53351,20.8
Los Angeles County Sheriff's Department,Sheriff's Department,Los Angeles County,2868356,1467856,659394,256323,6556,418230,6898,6016,47083,76.8,11,55870,27.9
Madera Sheriff's Department,Sheriff's Department,Madera County,71389,28074,39448,1041,945,343,0,47,1491,69.5,9.5,45490,34.2
Marin County Sheriff's Department,Sheriff's Department,Marin County,101302,11198,76106,2519,207,6435,0,826,4011,92.5,7.2,91529,29.4
Mariposa County Sheriff's Department,Sheriff's Department,Mariposa County,17658,1870,14309,215,416,168,56,0,624,89,13.2,50560,23.3
Mendocino County Sheriff's Department,Sheriff's Department,Mendocino County,59751,13435,40572,388,2420,1103,0,30,1803,85.9,12.3,43290,25.6
Merced County Sheriff's Department,Sheriff's Department,Merced County,91365,50375,32591,2725,460,3941,230,144,899,68,17.5,43066,27.6
Modoc County Sheriff's Department,Sheriff's Department,Modoc County,6518,976,5133,65,236,96,8,4,0,86.6,12.3,38560,25.3
Mono County Sheriff's Department,Sheriff's Department,Mono County,6066,643,4901,12,312,156,0,0,42,84.3,11.9,61814,38.1
Monterey County Sheriff's Department,Sheriff's Department,Monterey County,99533,43630,50500,705,72,945,132,326,3223,71.2,9.6,58582,24.1
Napa County Sheriff's Department,Sheriff's Department,Napa County,48193,10765,25540,1835,323,7856,139,0,1735,82.8,8.4,70925,24.9
Nevada County Sheriff's Department,Sheriff's Department,Nevada County,66597,4319,58323,416,398,331,78,201,2531,94.3,10.7,56949,27.5
Orange County Sheriff's Department,Sheriff's Department,Orange County,715556,136257,459026,9212,1488,76221,1589,2228,29535,84,8.8,75998,31.5
Placer County Sheriff's Department,Sheriff's Department,Placer County,116791,10799,99772,1378,552,1777,33,88,2392,94,9.3,73747,27.7
Plumas County Sheriff's Office,Sheriff's Department,Plumas County,18724,1599,15640,160,342,148,55,112,668,89.8,16.7,48032,23.2
Riverside County Sheriff's Department,Sheriff's Department,Riverside County,1341682,641749,499868,83778,5558,77061,3182,2291,28195,79.8,14.3,56592,29.7
Sacramento County Sheriff's Department,Sheriff's Department,Sacramento County,641460,126784,345290,56962,3121,68653,5293,2538,32819,86.2,13.1,55615,23.1
San Benito County Sheriff's Department,Sheriff's Department,San Benito County,20552,7574,12111,30,80,534,77,0,146,77.9,14,67874,18
San Bernardino County Sheriff's Department,Sheriff's Department,San Bernardino County,1060530,445273,424892,83466,4754,76917,424,1487,23317,78.3,13.9,54100,29
San Diego County Sheriff's Department,Sheriff's Department,San Diego County,893521,244780,536357,28480,7220,38231,3441,3330,31682,85.8,9.6,63996,27.4
San Joaquin County Sheriff's Department,Sheriff's Department,San Joaquin County,163317,65638,66587,8257,512,14779,190,384,6970,77.6,15,53253,28
San Luis Obispo County Sheriff's Department,Sheriff's Department,San Luis Obispo County,119632,25278,86216,1036,717,2883,0,107,3395,89.6,8,59454,26.5
San Mateo County Sheriff's Department,Sheriff's Department,San Mateo County,121083,21804,75512,0,223,16326,570,467,6181,88.5,7.4,91421,28.4
Santa Barbara County Sheriff's Department,Sheriff's Department,Santa Barbara County,192942,50021,117652,3531,427,13640,32,536,7103,79.3,8.9,63409,32.2
Santa Clara County Sheriff's Department,Sheriff's Department,Santa Clara County,142723,10074,72725,568,413,53865,907,1568,2603,86.8,8.8,93854,27.3
Santa Cruz County Sheriff's Department,Sheriff's Department,Santa Cruz County,131511,28619,94361,726,154,3304,0,415,3932,85.5,8.7,66923,24.7
Shasta County Sheriff's Department,Sheriff's Department,Shasta County,76279,6499,64662,318,1982,770,0,106,1942,88.7,12.2,44556,23.3
Sierra County Sheriff's Department,Sheriff's Department,Sierra County,2885,290,2509,4,28,0,0,0,54,90.1,7,43107,41.8
Siskiyou Sheriff's Department,Sheriff's Department,Siskiyou County,28340,2708,23080,284,833,425,0,8,1002,88.8,14.4,37495,23.4
Solano County Sheriff's Department,Sheriff's Department,Solano County,17573,920,12330,3608,341,0,374,0,0,87.5,12.1,67341,26.3
Sonoma County Sheriff's Department,Sheriff's Department,Sonoma County,185302,40337,133191,2115,1016,3235,352,1149,3907,86.8,9.6,63799,26.5
Stanislaus County Sheriff's Department,Sheriff's Department,Stanislaus County,167216,81359,71269,4176,1356,4073,590,0,4393,77.2,16.3,49573,28.8
Sutter County Sheriff's Department/Coroner,Sheriff's Department,Sutter County,28493,9221,16394,0,454,1847,93,43,441,78.4,14,51527,22.1
Tehama County Sheriff's Department,Sheriff's Department,Tehama County,41596,9704,29480,129,640,133,25,26,1459,82.1,16.1,42369,28.9
Trinity County Sheriff's Department,Sheriff's Department,Trinity County,13037,937,10796,104,557,141,118,14,370,90.7,13,36862,19.7
Tulare County Sheriff's Department,Sheriff's Department,Tulare County,139124,94786,36207,944,1658,2773,29,557,2170,68,13.5,42863,33
Tuolumne Sheriff's Department,Sheriff's Department,Tuolumne County,49152,5807,40504,595,713,38,99,0,1396,89.6,15.2,48493,26.2
Ventura County Sheriff's Department,Sheriff's Department,Ventura County,345737,90942,213283,4030,1209,24930,323,554,10466,83,9.4,77335,26.5
Yolo County Sheriff's Department,Sheriff's Department,Yolo County,27108,8085,13257,1019,0,3266,0,0,1481,85,9.6,55508,24.3
Yuba County Sheriff's Department,Sheriff's Department,Yuba County,58527,16543,32572,1431,721,3471,257,126,3406,79.6,17.3,45470,18.9
