,graffiti,illegal,dumping,property,private,"""sc""",side,addition,must,fence,garage,building,overgrown,utility,permit,wall,front,living,rear,structure,"property,",removed,ave.,corner,DESCRIPTION,ADDRESS,lat,long,ID,CLASS
15,0.0,0.0,0.0,0.0,0.0,0,0.0,0.038461538461538464,0.0,0.0,0.038461538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"""sc"" Complaint received ""Nothing in Planning files. Built 3BR 1BA in 1956 880 SF with attached garage 250SF. Seems to be big addition at the back.""","2636 WESTMORELAND AVE, REDWOOD CITY, CA",37.474844,-122.214748,VIO2015-00229,Addition
16,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.02040816326530612,0.0,0.04081632653061224,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"Complaint received ""Blt 1955 3BR 1BA attached garage. 1000 SF. Converted garage in real estate ads - must be 2nd bath? Planning files show 4/9/96 permit to legalize ""remodel"" of kitchen cabinets and wall heaters. However, no final inspection noted after it failed inspection. Google maps show massive additions.""","2600 MARLBOROUGH AVE, REDWOOD CITY, CA",37.473715,-122.216007,VIO2015-00208,Addition
17,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"""sc"" Complaint received ""2 BR 1BA Built 1924 900 SF. Absolutely no records in Planning's Accela files. Google maps show massive additions.""","2620 MARLBOROUGH AVE, REDWOOD CITY, CA",37.473632,-122.21587,VIO2015-00209,Addition
18,0.0,0.027777777777777776,0.0,0.0,0.0,0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"Complaint received ""Blt 1907 2 BR 1 BA 760 SF with attached garage. Picket fence and hedge. Planning files show VIOL for illegal. However nothing done about it. Google satellite shows many additional structures in back.""","2626 MARLBOROUGH AVE, REDWOOD CITY, CA",37.473632,-122.21587,VIO2015-00212,Addition
19,0.0,0.0,0.0,0.041666666666666664,0.0,0,0.0,0.020833333333333332,0.0,0.0,0.041666666666666664,0.020833333333333332,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0,0.020833333333333332,0,0.0,expired 1984 building permit for home addition and turning the carport into garage; garage conversion to habitable space investigated and found not in violation; the inoperable van was removed; the other 2 inoperable vehicles that appear to be on this property are actually on neighboring property 197 Buckingham.,"187 BUCKINGHAM AVE, REDWOOD CITY, CA",37.474171,-122.214111,VIO2014-00310,Addition
20,0.0,0.14285714285714285,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"ILLEGAL STRUCTURES-ADDITION, GARAGE CONVERSION AND TWO SHEDS.","2736 WESTMORELAND AVE, REDWOOD CITY, CA",37.473657,-122.212765,VIO2015-00267,Addition
21,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,0,0.0,0,0.0,"unpermitted dwelling and additions, possible unpermitted detached accessory structure (need to confirm size/setbacks), fence height violation","130 BUCKINGHAM AVE, REDWOOD CITY, CA",37.473419,-122.214042,VIO2014-00283,Addition
22,0.0,0.023255813953488372,0.0,0.0,0.0,0,0.0,0.023255813953488372,0.0,0.023255813953488372,0.046511627906976744,0.0,0.0,0.0,0.0,0.0,0.06976744186046512,0.0,0.0,0.0,0,0.0,0,0.0,"Complaint received ""2BR 1BA built 1953 680 SF + garage 240 SF. Most recent google shows washer in front yard. Way bigger than 680 SF. Possible garage conversion because basketball net in front of door.""gar conv, appliance in front, fence height, illegal addition","2768 WESTMORELAND AVE, REDWOOD CITY, CA",37.473177,-122.212101,VIO2015-00270,Addition
23,0.0,0.03333333333333333,0.0,0.0,0.0,0,0.0,0.03333333333333333,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0,0.0,0,0.0,"Complaint received ""2BR 1BA built 1949? 1953? 680SF and attached garage 240SF. Extension at back. Possible garage conversion. BLD 91-0295 demo nonconforming garage door.""illegal addition, gar conv, poss illegal structure","2772 WESTMORELAND AVE, REDWOOD CITY, CA",37.47322,-122.212169,VIO2015-00271,Addition
24,0.07142857142857142,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"""sc"" Additional dwelling and structures w/out permits. Fence height violation and graffiti on fence","2792 WESTMORELAND AVE, REDWOOD CITY, CA",37.47303,-122.211937,VIO2016-00044,Addition
25,0.0,0.05,0.0,0.0,0.0,0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.03333333333333333,0,0.0,0,0.0,"""sc"" ILLEGAL CONSTRUCTION WITHOUT A VALID BUILDING PERMIT-Per assessors records: Structure has illegal additions, Original record identifies structure as a one bedroom, one bath, one kitchen, one living room, and roof porch. 499 sq ft. There are no building permits and/or any legal record of garage. In addition, a shed and illegal fence are encroaching onto public right of way.","2796 WESTMORELAND AVE, REDWOOD CITY, CA",37.473024,-122.211675,VIO2015-00006,Addition
26,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"""sc"" Nothing in planning files; possible additions. Built 1951 1 story 3 BR 1 BA 1172 SF","187 DUMBARTON AVE, REDWOOD CITY, CA",37.472861,-122.2118,VIO2015-00119,Addition
27,0.0,0.0,0.0,0.017857142857142856,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,"""sc"" Only permit on file is for reroofing in 2005; home built in 1948 as 900 SF but when last sold in 1997 it was advertised as 1180SF. Property noisy; several cars appear to be gardening trucks; appears there may be 5 additional units in back and a second story was added possibly in the 1980's","2795 DEVONSHIRE AVE, REDWOOD CITY, CA",37.472726,-122.212053,VIO2015-00087,Addition
28,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0,0.0,0,0.0,"##### SCANNED ##### ""Garage used for living quarters; multiple additional units in back""","2747 DEVONSHIRE AVE, REDWOOD CITY, CA",37.473321,-122.213019,VIO2015-00052,Addition
29,0.0,0.02631578947368421,0.0,0.0,0.0,0,0.0,0.02631578947368421,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.02631578947368421,0.0,0,0.0,0,0.0,"Assessors records indicate Duplex with Two bd rm; one bath; kitchen and living rm in each unit. Complaint received for possible garage conversion. After review of records, there is a possible illegal addition attached to rear of duplex.","2760 WESTMORELAND AVE, REDWOOD CITY, CA",37.473327,-122.212337,VIO2015-00269,Addition
30,0.0,0.016129032258064516,0.0,0.0,0.0,0,0.0,0.03225806451612903,0.0,0.0,0.016129032258064516,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516,0.04838709677419355,0.0,0,0.0,0,0.0,dwelling converted to 2 units (2nd unit is in the rear of house where permitted addition was done in 1989 except they added a stove); 3 detached accessory structures in the rear yard; one possibly inhabited and all illegal. Addition to garage done with rear portion now a living unit. Junk accumulations in driveway and front porch. Broken windows on primary residence.,"2740 DEVONSHIRE AVE, REDWOOD CITY, CA",37.473002,-122.213319,VIO2014-00096,Addition
31,0.0,0.03508771929824561,0.0,0.017543859649122806,0.0,0,0.017543859649122806,0.0,0.0,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0,0.017543859649122806,0.0,0,0.0,0,0.0,"1) Illegal additions to right side & rear of house, including internal work & conversion of existing basement to habitable space; 2) illegal work converting detached garage from previously approved ""dry storage"" to habitable space, including full bathroom, 3) fence built on front property line exceeding (6') allowed (4') height; 4) illegally built storage area & jaccuzzi.","2784 DEVONSHIRE AVE, REDWOOD CITY, CA",37.472488,-122.21251,VIO2015-00084,Addition
32,0.0,0.02631578947368421,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0,0.0,0,0.0,"rear additions to dwelling including enclosure of carport and added area (possibly patio cover) and outstanding Building issues identified in SWN92-0066: enclosed carport, illegal units, additions to main house, plastic plumbing, ceiling heights not to code, no foundation.","2743 MARLBOROUGH AVE, REDWOOD CITY, CA",37.472841,-122.213647,VIO2014-00337,Addition
